**Supported operators for device: XLA_CPU_JIT**

Operator | Type Constraint
`Reverse` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`ReverseSequence` | `Tlen={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ReverseV2` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`<br>`Tidx={int32,int64}`
`RightShift` | `T={int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`Rint` | `T={bfloat16,double,float,half}`
`RngReadAndSkip` | 
`RngSkip` | 
`Roll` | `Taxis={int32,int64}`<br>`Tshift={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Round` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8}`
`Rsqrt` | `T={bfloat16,complex128,complex64,double,float,half}`
`RsqrtGrad` | `T={bfloat16,complex128,complex64,double,float,half}`
`ScatterNd` | `Tindices={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Select` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`SelectV2` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`SelfAdjointEigV2` | `T={complex128,complex64,double,float,half}`
`Selu` | `T={bfloat16,double,float,half}`
`SeluGrad` | `T={bfloat16,double,float,half}`
`Shape` | `out_type={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ShapeN` | `out_type={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Sigmoid` | `T={bfloat16,complex128,complex64,double,float,half}`
`SigmoidGrad` | `T={bfloat16,complex128,complex64,double,float,half}`
`Sign` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8}`
`Sin` | `T={bfloat16,complex128,complex64,double,float,half}`
`Sinh` | `T={bfloat16,complex128,complex64,double,float,half}`
`Size` | `out_type={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Slice` | `Index={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Snapshot` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Softmax` | `T={bfloat16,double,float,half}`
`SoftmaxCrossEntropyWithLogits` | `T={bfloat16,double,float,half}`
`Softplus` | `T={bfloat16,double,float,half}`
`SoftplusGrad` | `T={bfloat16,double,float,half}`
`Softsign` | `T={bfloat16,double,float,half}`
`SoftsignGrad` | `T={bfloat16,double,float,half}`
`SpaceToBatch` | `Tpaddings={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`SpaceToBatchND` | `Tpaddings={int32,int64}`<br>`Tblock_shape={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`SpaceToDepth` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`SparseMatMul` | `Tb={bfloat16,float}`<br>`Ta={bfloat16,float}`
`SparseSoftmaxCrossEntropyWithLogits` | `Tlabels={int32,int64}`<br>`T={bfloat16,double,float,half}`
`SparseToDense` | `Tindices={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Split` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`SplitV` | `Tlen={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Sqrt` | `T={bfloat16,complex128,complex64,double,float,half}`
`SqrtGrad` | `T={bfloat16,complex128,complex64,double,float,half}`
`Square` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8}`
`SquaredDifference` | `T={bfloat16,complex128,complex64,double,float,half,int32,int64}`
`Squeeze` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`StackCloseV2` | 
`StackPopV2` | `elem_type={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`StackPushV2` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`StackV2` | `elem_type={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`StatefulPartitionedCall` | `Tout={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,string,uint16,uint32,uint64,uint8,variant}`<br>`Tin={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,string,uint16,uint32,uint64,uint8,variant}`
`StatefulStandardNormalV2` | `shape_dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`<br>`dtype={bfloat16,double,float}`
`StatefulTruncatedNormal` | `shape_dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`<br>`dtype={bfloat16,double,float}`
`StatefulUniform` | `shape_dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`<br>`dtype={bfloat16,double,float}`
`StatefulUniformFullInt` | `shape_dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`<br>`dtype={int32,int64,uint32,uint64}`
`StatefulUniformInt` | `shape_dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`<br>`dtype={int32,int64,uint32,uint64}`
`StatelessCase` | `Tout={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`<br>`Tin={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`
`StatelessIf` | `Tout={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`<br>`Tin={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`<br>`Tcond={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`
`StatelessMultinomial` | `output_dtype={int32,int64}`<br>`Tseed={int32}`<br>`T={bfloat16,double,float}`
`StatelessRandomGetAlg` | 
`StatelessRandomGetKeyCounter` | `Tseed={int32,int64}`
`StatelessRandomGetKeyCounterAlg` | `Tseed={int32,int64}`
`StatelessRandomNormal` | `Tseed={int32}`<br>`T={int32,int64}`<br>`dtype={bfloat16,double,float}`
`StatelessRandomNormalV2` | `Tshape={int32,int64}`<br>`dtype={bfloat16,double,float}`
`StatelessRandomUniform` | `Tseed={int32}`<br>`T={int32,int64}`<br>`dtype={bfloat16,double,float}`
`StatelessRandomUniformFullInt` | `Tseed={int32}`<br>`T={int32,int64}`<br>`dtype={int32,int64}`
`StatelessRandomUniformFullIntV2` | `Tshape={int32,int64}`<br>`dtype={int32,int64,uint32,uint64}`
`StatelessRandomUniformInt` | `Tseed={int32}`<br>`T={int32,int64}`<br>`dtype={int32,int64}`
`StatelessRandomUniformIntV2` | `Tshape={int32,int64}`<br>`dtype={int32,int64,uint32,uint64}`
`StatelessRandomUniformV2` | `Tshape={int32,int64}`<br>`dtype={bfloat16,double,float}`
`StatelessTruncatedNormal` | `Tseed={int32}`<br>`T={int32,int64}`<br>`dtype={bfloat16,double,float}`
`StatelessTruncatedNormalV2` | `Tshape={int32,int64}`<br>`dtype={bfloat16,double,float}`
`StatelessWhile` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`
`StopGradient` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8,variant}`
`StridedSlice` | `Index={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`StridedSliceGrad` | `Index={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Sub` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`Sum` | `Tidx={int32,int64}`<br>`T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Svd` | `T={double,float,half}`
`SymbolicGradient` | `Tout={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`<br>`Tin={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Tan` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8}`
`Tanh` | `T={bfloat16,complex128,complex64,double,float,half}`
`TanhGrad` | `T={bfloat16,complex128,complex64,double,float,half}`
`TensorArrayCloseV3` | 
`TensorArrayConcatV3` | `dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorArrayGatherV3` | `dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorArrayGradV3` | 
`TensorArrayReadV3` | `dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorArrayScatterV3` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorArraySizeV3` | 
`TensorArraySplitV3` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorArrayV3` | `dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorArrayWriteV3` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorListConcatV2` | `shape_type={int32,int64}`<br>`element_dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorListElementShape` | `shape_type={int32,int64}`
`TensorListFromTensor` | `shape_type={int32,int64}`<br>`element_dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorListGather` | `element_dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorListGetItem` | `element_dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorListLength` | 
`TensorListPopBack` | `element_dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8,variant}`
`TensorListPushBack` | `element_dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8,variant}`
`TensorListReserve` | `shape_type={int32,int64}`<br>`element_dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorListSetItem` | `element_dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorListSplit` | `shape_type={int32,int64}`<br>`element_dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorListStack` | `element_dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorScatterAdd` | `Tindices={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorScatterMax` | `Tindices={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorScatterMin` | `Tindices={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorScatterSub` | `Tindices={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorScatterUpdate` | `Tindices={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TensorStridedSliceUpdate` | `Index={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Tile` | `Tmultiples={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TopKV2` | `T={bfloat16,double,float,half,int32,uint32}`
`Transpose` | `Tperm={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`TridiagonalSolve` | `T={double,float}`
`TruncateDiv` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`TruncateMod` | `T={bfloat16,double,float,half,int32,int64}`
`TruncatedNormal` | `T={int32,int64}`<br>`dtype={double,float}`
`Unpack` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`UnsortedSegmentMax` | `Tnumsegments={int32,int64}`<br>`Tindices={int32,int64}`<br>`T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`UnsortedSegmentMin` | `Tnumsegments={int32,int64}`<br>`Tindices={int32,int64}`<br>`T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`UnsortedSegmentProd` | `Tnumsegments={int32,int64}`<br>`Tindices={int32,int64}`<br>`T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`UnsortedSegmentSum` | `Tnumsegments={int32,int64}`<br>`Tindices={int32,int64}`<br>`T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`UpperBound` | `out_type={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`VarIsInitializedOp` | 
`VariableShape` | `out_type={int32,int64}`
`While` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`
`Xdivy` | `T={complex128,complex64,double,float,half}`
`XlaBroadcastHelper` | `Tindices={int32,int64}`<br>`T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaConv` | `Tindices={int32,int64}`<br>`T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaConvV2` | `preferred_element_type={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`<br>`Tindices={int32,int64}`<br>`RhsT={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`<br>`LhsT={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaDequantize` | 
`XlaDot` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaDotV2` | `preferred_element_type={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`<br>`RhsT={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`<br>`LhsT={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaDynamicSlice` | `Tindices={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaDynamicUpdateSlice` | `Tindices={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaEinsum` | `T={bfloat16,complex64,float}`
`XlaGather` | `Tindices={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaIf` | `Tout={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`<br>`Tin={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`<br>`Tcond={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`
`XlaKeyValueSort` | `V={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`<br>`K={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`XlaPad` | `Tindices={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaRecv` | `dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaReduce` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaReduceWindow` | `Tindices={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaRemoveDynamicDimensionSize` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaReplicaId` | 
`XlaScatter` | `Tindices={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaSelectAndScatter` | `Tindices={int32,int64}`<br>`T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaSelfAdjointEig` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaSend` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaSetBound` | 
`XlaSetDynamicDimensionSize` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaSharding` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaSort` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaSpmdFullToShardShape` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaSpmdShardToFullShape` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaSvd` | `T={bfloat16,double,float,half}`
`XlaVariadicReduce` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaVariadicSort` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`XlaWhile` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`
`Xlog1py` | `T={complex128,complex64,double,float,half}`
`Xlogy` | `T={complex128,complex64,double,float,half}`
`ZerosLike` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8,variant}`
`Zeta` | `T={double,float}`
`_Arg` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`
`_ArrayToList` | `out_types={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`_EagerConst` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`_FusedBatchNormEx` | `U={float}`<br>`T={bfloat16,float,half}`
`_ListToArray` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`<br>`Tin={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`_Retval` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`
`_UnaryOpsComposition` | `T={double,float,half}`

To regenerate this table, run:

```shell
bazel run -c opt -- tensorflow/compiler/tf2xla:tf2xla_supported_ops --device=XLA_CPU_JIT
```
